title,company_name,location,posted_date,salaries,description,Career Level,Qualification,Years of Experience,Job Type,Job Specializations,Registration No.,Company Size,Average Processing Time,Industry,Benefits & Others,Specific Location
IT Executive,Syarikat Wen Ken Drug Sdn Bhd,Johor,Posted 2 hours ago,Salary not found,"Provide helpdesk support and onsite technical assistance to users.Manage and maintain the organization's servers, cloud system, computer systems, networks, and security.Offer 1st level support for Company Business Applications, including ERP Systems and Business Systems.Monitor and ensure the uptime, performance, resources, and security of networks and servers.Maintain network infrastructure, including Cyber Security Solutions, Firewalls, switches, routers, and WiFi access points.Handle database backup and data replication for all related servers, continuously improving processes.Perform routine maintenance based on a daily checklist.Ensure compliance to Corporate IT Audit, Security policy and StandardsProvide support for Business Systems and participate in new IT project implementations.Stay updated on the latest technologies and best practices and apply them to the organization's systems and networks.Assist in leading IT project implementations.Proactively monitor systems to ensure established SLA is met and anticipate growth and plan system upgrade opportunities.Participate in sourcing, evaluating, recommending, and negotiating with IT vendors and consultants.Manage IT assets, software licenses, and technical documentation.Perform other duties as assigned by the direct superior.Requirements:Professional Certificate, Diploma, Bachelor's Degree, or proven experience in IT roles.Minimum of 2 years of working experience in a similar position.Familiarity with Windows servers and clients (Hyper-V, VM , Business Office365, Active Directory, GPO & WSUS).Familiarity with Networking, Switcher , WiFi access Point and Network security. Knowledge of Microsoft Office365 , AWS, Power Apps, and SharePoint.Knowledge of SQL, database creation, Crystal report tools and ERP Systems is add advantage.Strong communication and problem-solving skills.Ability to work with minimum supervision and strong integrity.Immediate availability is an advantage.",Junior Executive,"Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin",29455-W,51 - 200 Employees,22 days,BioTechnology/Pharmaceutical/Clinical research,"Education support, Miscellaneous allowance, Medical, Parking, Regular hours, Mondays - Fridays, Business (e.g. Shirts), Fixed bonus",Taman Johor
IT Specialist/ Senior Executive (KL),FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Kuala Lumpur,Posted 24 hours ago,"MYR 4,000 - MYR 7,000","Candidate must possess at least Bachelor's Degree in Computer Science, MIS, Software Engineering, Information Systems, or equivalent.Required language(s): English, Bahasa MalaysiaAt least 5 Year(s) of working experience in the related field is required for this position.Preferably Manager specialized in IT/Computer - Software/Hardware/Network/System/Database Admin or equivalent.Install, troubleshoot, configure, and ensure computer hardware, operating systems, firewalls, servers, applications, and networks for internal users are up to date.Develop and support software including applications, database integration, interfaces, and new functionality enhancements.Evaluate and perform hotfixes, patches, and overall support for the system.To manage, secure, and monitor computer IT systems, especially on warehouse-related systems, servers, data capturing devices, and networks promptly, efficiently, and free from security threats.To ensure smooth daily IT operations within the company.",Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin",1229891-X,1 - 50 Employees,12 days,Automobile / Automotive Ancillary / Vehicle,"Medical, 1 year get 13 months salary, Uniform, Mon to Fri, Alternate Sat 9am to 6pm",
Fresh Graduate - Computer Science,Keysight Technologies Malaysia Sdn. Bhd.,Penang,Posted 27 minutes ago,Salary not found,"We are looking for recent graduates and high-performance candidates with an interest in automation, smart systems, and digitalization. We are looking for graduates from computer science & IT background.The candidate will also be coached, guided, and gain hands-on experience working with a supportive team within Keysight Technologies, allowing them to grow exponentially.Job descriptionTo be part of the Keysight team to work on global project related to automation, smart system, and digitalization.May be responsible for process design, support, and ongoing improvement.Performs IT functions such as design, analysis, evaluation, testing, debugging and implementation of applications programs.Plans, conducts, and directs the analysis of business problems with automated systems solutions.QualificationCandidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Computer Science/Information Technology, Science & Technology or equivalent.No work experience required.",Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",,Contract,"Computer/Information Technology, IT-Software",463532-M,2001 - 5000 Employees,21 days,Electrical & Electronics,"Dental, Education support, Medical, Sports (e.g. Gym), Parking, Vision, Regular hours, Mondays - Fridays, Meal Allowance, Mother's Room, Moms-to-be Carpark, Stock Purchase Program, Smart Casual",
Network Engineer,ECODE TECHNOLOGIES SDN BHD,Kuala Lumpur,Posted 22 hours ago,"MYR 4,000 - MYR 8,000","Job descriptionWe are hiring an enthusiastic Network Engineer to join our exceptional team at Ecode in Kuala Lumpur. Growing your career as a Full Time Network Engineer is an amazing opportunity to develop engineering skills. If you are strong in problem-solving, project management and have the right initiative for the job, then apply for the position of Network Engineer at Ecode today!Ecode is a leading Digital Infrastructure solutions and services organisation that brings together people, data and things to create a better and more sustainable future.In todays interconnected world, digital infrastructure matter more now than ever by bringing together talented people, world-class technology partners and emerging innovators, we help our clients solve some of the worlds most significant technological, business and societal challenges.With people at the heart of our success, Ecode is committed to attracting and growing the best talent and providing an environment where everyone feels they can belong and their contribution matters.Key Roles and Responsibilities:Ensure that assigned infrastructure at the client site is configured, installed, tested, and operationalPerform necessary checks, apply monitoring tools and respond to alertsIdentify problems and errors prior to or when it occurs and log all such incidents in a timely manner with the required level of detailAssist in analysing, assigning, and escalating support callsInvestigate third line support calls assigned and identify the root cause of incidents and problemsReport and escalate issues to 3rd party vendors if necessaryProvide onsite technical support to clients and provide field engineering services to clientsConduct a monthly random review of incidents and service requests, analyse and recommend improvement in qualityProvide continuous feedback to clients and affected parties and update all systems and/or portals as prescribed by EcodeProactively identify opportunities for work optimization including opportunities for automation of workKnowledge, Skills, and Attributes:Ability to communicate and work across different cultures and social groupsAbility to plan activities and projects well in advance, and takes into account possible changing circumstancesAbility to maintain a positive outlook at workAbility to work hard and put in longer hours when it is necessaryAbility to adapt to changing circumstances and pressurized environmentAbility to place clients at the forefront of all interactions, understanding their requirements, and creating a positive client experience throughout the total client journeyAcademic QualificationsDegree, or relevant qualification in IT/Computing/Science/Cyber Security/Electrical/Electronic Engineering (or demonstrated equivalent work experience)(Added Advantage) Possess valid certification of Certified Wireless Networking Professional, Cisco Certified Network Professional, Cisco Certified Wireless Professional, Aruba Certified Professional - Campus Access or equivalent.",Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin",934307-T,1 - 50 Employees,23 days,Computer/Information Technology (Hardware),"Dental, Miscellaneous allowance, Medical, Regular hours, Mondays - Fridays, Business (e.g. Shirts), Maternity Leave, Paternity Leave, Hajj Leave, Performance Bonus, EPF/KWSP",
AI Technologist Certification,Selangor Human Resource Development Centre (SHRDC),Selangor,Posted 21 hours ago,Salary not found,"Program Overview:This program provides the fundamental knowledge and hands-on practical training on skills and competencies related to Deep Learning. Participants would be exposed to hands-on technical training and applications for Deep Learning for Computer Vision which is an important application for Industry 4.0 in the areas of Artificial Intelligence (AI) and Smart Factory. Successful candidates shall complete:Up to 2 months online training with SHRDCCore Units Modules:Python ProgrammingMachine Learning Essentials with PythonJava ProgrammingIntroduction to Deep Learning with DL4JComputer Vision with DL4JMain Requirements:Fresh GraduatesCandidate must possess at least a minimum Bachelor Degree in Data Science, Information Technology, Computer Science, Software Engineering, Mechatronics Engineering, Electrical and Electronics Engineering, or any other related coursesExperience in machine learning and deep learning frameworks (optional but preferred)Good written and verbal skills in EnglishPositive attitude and eager to learnWilling to relocateAble to commit to online training from Monday to Friday (9AM - 5PM)Program Benefits:Fully Funded Training ProgramAllowance Provision (during training program duration)Industry recognized certificationJob Placement and Employment Opportunities (Upon completing the program and passing the final assessment)Intake: 2 December 2023Interested? Do contact us:Ms Linda wa.me/+601111364212",Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",,Full-Time,"Computer/Information Technology, IT-Software",5192/96(SEL),1 - 50 Employees,21 days,Education,"Education support, Miscellaneous allowance, Medical, Regular hours, Mondays - Fridays, Formal (e.g. Shirts + Ties)",
Product Operations Specialist,GREYWOLF NETWORKS SDN BHD,Kuala Lumpur,Posted 22 hours ago,"MYR 3,000 - MYR 3,800","Position Overview:We are seeking a proactive and highly organized Product Operations Specialist to join our team. As a Product Operations Specialist, you will assist the channel team in executing multi-channel strategies, ensuring consistent product presence across various channels, thereby driving business growth and increasing market share.Key Responsibilities:• Assist in formulating and executing multi-channel operational strategies, covering both online and offline channels, to increase product traffic and enhance conversion rates.• Aid in managing channel partner relationships, maintaining close communication to ensure smooth collaboration and communication.• Monitor channel performance metrics, such as traffic data and product conversion rates.• Support coordination and communication between the channel team and internal departments, ensuring successful implementation of channel strategies.• Gather market trends and competitor information, providing data support for adjusting channel strategies.• Develop and manage the channel operations budget, ensuring proper resource allocation.• Responsible for day-to-day channel coordination, actively perform data tracking and anomaly monitoring, regularly devise and provide operational plans, and conduct detailed analysis and reviews of relevant data.• Dive into the data characteristics and user attributes of various channels, tailor channel optimisation based on products and promotional content, aiming to optimise user experience and enhance effectiveness.• Familiarize yourself with the latest policy requirements of each channel, rigorously review product content, and optimise peripheral material content according to version evolution.• Based on the demand model for deployment, comprehensively consider changes in data such as retention rates, user payments, and ROI, continuously drive the evolution of user tag systems, and provide strong support for user growth.• Gain deep insights into market trends, gather competitor information, provide improvement suggestions to optimise product experience and content development output.Qualifications:• Bachelor's degree, preferably in Marketing, Business Administration, Computer Science,or related fields.• At least 2 years of relevant work experience in channel operations, marketing, or related fields, with an understanding of mainstream domestic channel operation models and familiarity with advertising delivery data models.• Excellent coordination and organisational abilities, effectively manage multiple tasks and projects.• Strong communication and teamwork skills, capable of collaborating effectively with various teams and partners independently.• Proficient in using office software such as Microsoft Office.• Problem-solving and adaptability, proactive in taking on tasks, and possessing strong execution and expansion capabilities.• Proficiency in written and spoken English is a plus.",Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin",1509486-X,51 - 200 Employees,20 days,Others,"Dental, Medical, Parking, Regular hours, Mondays - Fridays, Casual (e.g. T-shirts)",
Associate Consultant,Infor Global Solutions (SEA) Pte Ltd,Kuala Lumpur,Posted 16 hours ago,Salary not found,"A Day in The Life Typically Includes:Be a team player with the energy, drive, and excitement to help grow a fast-moving company.Interface directly with enterprise clients to integrate their mobile, web, e-commerce, and point of sale applications with our APIs/SDKs and custom features.Manage the technical customer relationship for all facets of the integration including, but not limited to, requirements clarification, integration testing, load testing, giving demos, upgrading software, and responding to Customer needs for technical information.Work closely with product and engineering in delivering enterprise-level solutions to customers through problem solving, testing, and code delivery.Maximize efficiency in a constantly evolving environment where the process is fluid and creative solutions are necessary.Work with development engineers, product managers, account managers and other departments to understand the technology resolve problemsPosition may require some travel and some availability for off-hours support required.What You Will Need:A genuine interest in business processes, IT and and working collaboratively to solve business problemsNewly graduated with a degree in Business Administration, Finance, Supply Chain, Logistics, Industrial Manufacturing or IT.Driven and results-oriented personalityStrong verbal and written communication skillsA “can-do” attitude with strong analytical skills and a passion to learn & growBe proficient in English, any additional languages is beneficialBe eligible to work in MalaysiaInternational experience from studies is nice to haveWillingness to domestic and international travel",Entry Level,Not Specified,,Full-Time,"Computer/Information Technology, IT-Software",198901911C,1 - 50 Employees,11 days,Computer / Information Technology (Software),"Regular hours, Mondays - Fridays, Business (e.g. Shirts)",
Software Engineer,Optimai (Malaysia) Sdn Bhd,Kuala Lumpur,Posted on 2-Oct-23,Salary not found,"We are looking for Software Engineers who are passionate in Finance & Investments to join us in our drive to become the leading FinTech company in Asia:Generative AI / Machine LearningWeb & mobile frontend developmentBusiness Intelligence / Data AnalyticsBackend developmentSoftware testing and automationSystem & Server AdminYou will enjoy working with a close-knit team of friendly colleagues to create innovative, state-of-the-art financial systems from front office trading to middle and back office systems for stockbrokers, fund management companies, banks & exchanges.Through our Rapid Enterprise Application Platform (REAP), you will help transform the way enterprise systems are built in the future.TechnicalGenerative AI / Machine Learning - ChatGPT, classification, association, time series prediction using ML techniques, etc.Web / Mobile Frontend Development - .NET Core, MVC, Javascript, Vue.JS, Bootstrap, Angular, REST APIs, etc.Business Intelligence / Data Analytics - Tableau / Power BI / DevExpress / SQL / etc.Backend Development - Database design, SQL programming, performance optimization (Microsoft SQL Server), REST APIs, WCF, Python, etc.Software Testing & Automation - Black/white box testing, automated testing, SQL, APIsSystem & Server Admin - AD, SCCM, Backup & Restore, IT Security, Hyper-V, Azure, AWSBusinessFinancial industry - capital markets, wealth management, bankingInvestment data warehouse & portfolio analytics, stock trading, margin financing, portfolio financing, securities borrowing & lending, contracts for difference, leveraged FX, loans & syndicated loans, crypto assets, private equity, factoring & supply chain financing",Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Computer/Information Technology, IT-Software",201901033206,1 - 50 Employees,27 days,Computer / Information Technology (Software),"Regular hours, Mondays - Fridays",Work from office and home
Senior Risk Analyst,STGW Solution Sdn Bhd,Kuala Lumpur,Posted on 2-Oct-23,"MYR 5,000 - MYR 8,000","Job DescriptionAllow access during trading hours to all traders.Monitor the risk management system of the company and maintain the company's trade/risk server to ensure that we stay within our risk parameters.Work with the company's liquidity providers to maintain adequate feed provisions.Dealing and execution of trades for local & foreign retail equities broking businessRequirements:Preferably with a minimum of 3 years working experience at forex broker, strong sales skills, powerful leadership, long term strategic insight.Degree in the relevant field of study, including finance, economics, Accounting, or commerce or equivalent.Familiar on MT4 manager/MT4 administrator.Prior experience FX trading/research/portfolio/risk management experience will be advantageous.Well-versed in both fundamental and technical analysis.Excellent interpersonal and communication skills.Fluent in both verbal and writing in Mandarin, Cantonese and Good English and Malay skill.Candidate with Securities Commission's Capital Market Services Representative License dealing in derivatives will be added advantage.",Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin",1205119-T,51 - 200 Employees,12 days,Consulting (Business & Management),"Miscellaneous allowance, Medical, Sports (e.g. Gym), Parking, Regular hours, Mondays - Fridays, Business (e.g. Shirts), Annual Performance Bonus",Bangsar South
Backend Software Engineer (.Net),Pingspace,Penang,Posted 2 hours ago,"MYR 4,000 - MYR 6,500","IntroductionPingspace, a robotics warehouse start-up is looking for an experienced Software Engineer to design and develop highly scalable software solutions. We are on a mission to automate and simplify the warehouse industry through automation and robotics. Our systems cover a wide range of business and technology areas including warehouse management systems, workflow management, inventory management system, and AGV traffic control.Our team is comprised of people who are filled with energy, passion and constantly strive to be the best at what we do to achieve our mission. Within Pingspace, engineers are working on a variety of problems: distributed systems reliability, machine learning, database design, and performance workflow management.Now, we are inviting you: PASSIONATE Software Engineer enjoys creating and is proficient in building the user experience of products to embark on this journey with us and make an impact on the world.Job Description :You will be part of the team for designing & building the scalable backend for our warehouse management and control systems. You will participate in translating the functional requirements into technical design and turn the design into reality.Responsibilities:· Participate in design, development, testing and enhancements of the high transactional scalable backend platform.· Develop secured API and web sockets for frontend and other services integration.· Develop asynchronous background services for supporting post processing of high volumes transactions.· Produce clean, reusable and maintainable codes.· Maintain up to date documentation on frontend technical design and training materials.Requirements:· At least 3 years hand on working experience in .Net Core or Python with successful portfolio on implementation of high volumes transactions backend.· Well verse with restful API guidelines and HTTP Status Code standard.· Strong understanding of synchronous and asynchronous, microservices vs monolith.· Strong SQL know-how.· Familiar with software design patterns such as SOLID, DRY etc.· Prefer those with product development experience from IT startups.Skills:· .Net Core C#· Python· PostgreSQL / MYSQL· MongoDB / Redis· Messaging Queue· GitPersonal Attributes / Characteristics:· Passionate and Proactive· Intelligent, able to grasp the context quickly· Strong Analytical· Result Oriented· Strive for high quality standard",Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Computer/Information Technology, IT-Software",1244697-W,1 - 50 Employees,5 days,Computer / Information Technology (Software),"Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Casual (e.g. T-shirts)",
